probe,session_id,agent,model,seq,tool_use_id,tool_kind,file_path,result_chars,result_bytes,gzip_bytes,gzip_ratio,bucket
bash,019d6e66-8358-7a62-a19a-38479779023a,codex,gpt-5.4,365,call_YS5vRUeP9SXJAbwHn9o0g4uD,bash,,894,894,358,2.4972067039106145,2-3
bash,019d6e66-8358-7a62-a19a-38479779023a,codex,gpt-5.4,867,call_9AOW1g2I77kcKgypTsq2hGhe,bash,,180,180,157,1.1464968152866242,<2
bash,019d6e6b-85e7-75a0-81d0-82e45fb1af91-013c9bbbc573,codex,gpt-5.4,156,call_3rv4aAiEiDLerdJFN7oyW0aD,bash,,424,424,282,1.50354609929078,<2
bash,019d6e6b-85e7-75a0-81d0-82e45fb1af91-013c9bbbc573,codex,gpt-5.4,815,call_UWJzzUEnz7PiJ1S9fsmtjK66,bash,,229,229,179,1.2793296089385475,<2
bash,019d6e6b-85e7-75a0-81d0-82e45fb1af91-013c9bbbc573,codex,gpt-5.4,1250,call_uHWPe8B2vNBd3VqYGSEq7a4U,bash,,3967,3969,1082,3.668207024029575,3-5
bash,019d6e6b-85e7-75a0-81d0-82e45fb1af91-013c9bbbc573,codex,gpt-5.4,1959,call_jpE5jry4M17K5Xy7GDrBL4hn,bash,,2198,2226,542,4.107011070110701,3-5
bash,019d6e6b-85e7-75a0-81d0-82e45fb1af91-013c9bbbc573,codex,gpt-5.4,1963,call_nOQO1kYPyM8q5fqOb6NZjmHw,bash,,221,286,149,1.919463087248322,<2
bash,019d6e6b-85e7-75a0-81d0-82e45fb1af91-9b6cd2deea4c,codex,gpt-5.4,316,call_KEO7BHCERbczEFkuZrTKyUet,bash,,9871,9871,1498,6.589452603471295,5-10
bash,019d6e6b-85e7-75a0-81d0-82e45fb1af91-9b6cd2deea4c,codex,gpt-5.4,1967,call_rAnAUTDRaPN6IRDgyCAHt3xL,bash,,6205,6510,1559,4.175753688261707,3-5
bash,019d6f39-f8e6-7223-836d-0ea91a051a93,codex,gpt-5.4,146,call_B1OwAcl3AusS1VonbgDrA5yL,bash,,710,718,373,1.9249329758713136,<2
bash,019d708c-60fa-7060-b07a-dc90874c337f,codex,gpt-5.4,956,call_YS54lJUTB9YSMteIOOHyymqG,bash,,187,187,166,1.1265060240963856,<2
